Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,546.743010078504
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.200151071015376
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4431.53918101288
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.93973156347946
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4154.21903821165
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.59165741835207
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11393.6056572867
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,38301.2984391299
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.97340536048203
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3595.10666708754
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.88738036390839
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16146.5927471262
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.50466338464095
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13105.397163317
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.9872341980589
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4051.38496692373
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.88024626821933
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,58447.2526505317
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.475516485656
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,46170.3948913214
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.14663762463773
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5262.18380463117
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.22140218320925
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,32231.2725840966
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.86046391017413
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,21824.2062303419
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,19.5929758385156
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1498.38789214106
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.512837313770296
Barbados,BRB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16838.7287311496
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.36087077867709
Belarus,BLR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6165.90933024502
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.28364773644065
Belgium,BEL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,42376.2057610404
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.17971106113614
Belize,BLZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4707.40141641118
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.77512784836231
Benin,BEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1155.31316796067
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.688722324311593
Bermuda,BMU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,106696.068221485
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bhutan,BTN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3097.14835098189
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.82927799192997
Bolivia,BOL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3291.15635462541
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.00032766265544
Bosnia and Herzegovina,BIH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5387.26943617524
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.78113160660171
Botswana,BWA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6973.09884562464
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.64230521985371
Brazil,BRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8582.33863665038
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.04187419904738
British Virgin Islands,VGB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
British Virgin Islands,VGB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Brunei Darussalam,BRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,29802.7828760991
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,16.644908616188
Bulgaria,BGR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7859.67803704994
Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.85477343393352
Burkina Faso,BFA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,718.642559523889
Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.21618648458803
Burundi,BDI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,281.970232298924
Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0527946300523678
Cabo Verde,CPV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3333.06610990367
Cabo Verde,CPV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.14020052817031
Cambodia,KHM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1365.8290574302
Cambodia,KHM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.686777894736518
Cameroon,CMR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1437.27153388392
Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.34184290843119
Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,44917.3698142115
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.4970252672198
Cayman Islands,CYM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,81437.8900656244
Cayman Islands,CYM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Central African Republic,CAF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,412.990202678674
Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0707187056333878
Chad,TCD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,658.688891935225
Chad,TCD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0691315979407054
Channel Islands,CHI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Channel Islands,CHI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Chile,CHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13901.0183087907
Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.6248722447118
China,CHN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9619.19248413167
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.35226268214092
Colombia,COL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6271.87512055937
Colombia,COL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.6006506184645
Comoros,COM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1290.28996628506
Comoros,COM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.31237910327974
"Congo, Dem. Rep.",COD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,506.958273711373
"Congo, Dem. Rep.",COD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0261692628875174
"Congo, Rep.",COG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1840.43362887017
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.613992585944184
Costa Rica,CRI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12573.9558496609
Costa Rica,CRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.65218405330354
Cote d'Ivoire,CIV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2247.77660859265
Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.39530538358065
Croatia,HRV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13519.5588337019
Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.05592876243046
Cuba,CUB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8040.98799500021
Cuba,CUB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.20230009386014
Curacao,CUW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,18828.7347488728
Curacao,CUW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Cyprus,CYP,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,27161.4033495721
Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.07940050216016
Czech Republic,CZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,19685.4944824973
Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.64070499819002
Denmark,DNK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,56563.4884729669
Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.76149416359606
Djibouti,DJI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3088.5637801271
Djibouti,DJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.51098993349831
Dominica,DMA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7375.79516043128
Dominica,DMA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.51305391896797
Dominican Republic,DOM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7997.7611092431
Dominican Republic,DOM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.36375764821923
Ecuador,ECU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5952.21808360301
Ecuador,ECU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.31381230047905
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3831.19983491505
"Egypt, Arab Rep.",EGY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.50204214229022
El Salvador,SLV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3920.52627751227
El Salvador,SLV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.0606254107782
Equatorial Guinea,GNQ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8124.1828894291
Equatorial Guinea,GNQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.09562509645018
Eritrea,ERI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Eritrea,ERI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.231696216140132
Estonia,EST,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,19669.7648539037
Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,12.1030850007224
Eswatini,SWZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3774.62124286402
Eswatini,SWZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.959275667664665
Ethiopia,ETH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,757.35041670679
Ethiopia,ETH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.149050931014413
Faroe Islands,FRO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Faroe Islands,FRO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Fiji,FJI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5938.42755592054
Fiji,FJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.15056197580052
Finland,FIN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,45610.579263751
Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.04275204989552
France,FRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,38276.4694198731
France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.61924120513374
French Polynesia,PYF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
French Polynesia,PYF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Gabon,GAB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7019.8275539348
Gabon,GAB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.17527220393767
"Gambia, The",GMB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,692.632098181955
"Gambia, The",GMB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.249989912687734
Georgia,GEO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4539.08752230476
Georgia,GEO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.53854169098541
Germany,DEU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,42956.0112931521
Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.55838981170216
Ghana,GHA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1970.26082923134
Ghana,GHA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.541201382411755
Gibraltar,GIB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Gibraltar,GIB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Greece,GRC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,18639.9979514129
Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.08317505028006
Greenland,GRL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,47584.3425314409
Greenland,GRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Grenada,GRD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10109.0514690129
Grenada,GRD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.69181419303897
Guam,GUM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,35103.1618350584
Guam,GUM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Guatemala,GTM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4160.07113765612
Guatemala,GTM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.11396927255543
Guinea,GIN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,920.964243319291
Guinea,GIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.25132323293185
Guinea-Bissau,GNB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,637.546681187029
Guinea-Bissau,GNB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.165394727856314
Guyana,GUY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6178.88974588029
Guyana,GUY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.13219265038697
Haiti,HTI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1414.99940884475
Haiti,HTI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.299374738328049
Honduras,HND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2457.96670758431
Honduras,HND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.01903275747031
"Hong Kong SAR, China",HKG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,45284.8595892096
"Hong Kong SAR, China",HKG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Hungary,HUN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,14379.4442049294
Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.74550624393641
Iceland,ISL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,57699.458929971
Iceland,ISL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.23722432177273
India,IND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1915.43527124637
India,IND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.79982544579379
Indonesia,IDN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3732.86711146592
Indonesia,IDN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.17846155349724
"Iran, Islamic Rep.",IRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5203.16947029808
"Iran, Islamic Rep.",IRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.69301259933288
Iraq,IRQ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4975.38104844748
Iraq,IRQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.89519536080978
Ireland,IRL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,72578.4378391554
Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.62432519277565
Isle of Man,IMN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,96449.339649052
Isle of Man,IMN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Israel,ISR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,38301.4536594719
Israel,ISR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.97640383662809
Italy,ITA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,31580.777182285
Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.37637433931087
Jamaica,JAM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5043.54079018179
Jamaica,JAM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.89963415544152
Japan,JPN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,36188.6200284301
Japan,JPN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.7422577098865
Jordan,JOR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4109.75242860846
Jordan,JOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.47859527268662
Kazakhstan,KAZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11053.3620631343
Kazakhstan,KAZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,12.0619691393056
Kenya,KEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1559.24369479701
Kenya,KEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.358028407608337
Kiribati,KIR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1626.04121351321
Kiribati,KIR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.690595811536403
"Korea, Dem. People's Rep.",PRK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
"Korea, Dem. People's Rep.",PRK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.709208588187231
"Korea, Rep.",KOR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,31040.6554458576
"Korea, Rep.",KOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,12.224591362122
Kosovo,XKX,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4009.10642282596
Kosovo,XKX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Kuwait,KWT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,27496.8461885443
Kuwait,KWT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,21.6227243085731
Kyrgyz Republic,KGZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1197.6107237282
Kyrgyz Republic,KGZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.73973556019485
Lao PDR,LAO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2483.1615746774
Lao PDR,LAO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.66090849278722
Latvia,LVA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,15552.0204512529
